Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size
099-DCA-09-006A (Asociacion Arariwa),356191,Worldwide,987272.7273,PERU - NUEVO SOL,9/9/2013,,Cusco,Cusco,PE08,Peru,LATIN AMERICA & THE CARIBBEAN,-13.518333,-71.978056,0,1,>100
099-DCA-09-006B (Pro Mujer Peru),331620,Worldwide,1974545.455,PERU - NUEVO SOL,9/4/2014,,Puno,Puno,PE21,Peru,LATIN AMERICA & THE CARIBBEAN,-15,-70,0,0,>100
099-DCA-09-006C (ProEmpresa),349835,Worldwide,1992565.056,PERU - NUEVO SOL,8/5/2013,,Lima,Lima,PE15,Peru,LATIN AMERICA & THE CARIBBEAN,-12,-76.833333,0,1,>100
099-DCA-09-006D (Pro Mujer Peru),385807,Worldwide,1000000,PERU - NUEVO SOL,3/31/2015,,Puno,,,,,,,0,0,>100
099-DCA-09-006F (COCLA),473058,Worldwide,1780000,UNITED STATES - DOLLAR,8/20/2014,,Cusco,Cusco,PE08,Peru,LATIN AMERICA & THE CARIBBEAN,-13.518333,-71.978056,0,0,N/A
099-DCA-09-006G (Manuela Ramos),420674,Worldwide,1158301.158,PERU - NUEVO SOL,11/28/2014,,Lima,Lima,PE15,Peru,LATIN AMERICA & THE CARIBBEAN,-12,-76.833333,0,0,N/A
674A99DCA02,123514,South Africa,25000000,SOUTH AFRICA - RAND,4/27/2011,Trade/Commerce,,,,,,,,0,0,
674-DCA-11-016,369568,South Africa,53003.5336,SOUTH AFRICA - RAND,8/30/2017,Trade/Commerce,Potchefstroom,North-West,SF10,South Africa,AFRICA,-26.716667,27.1,0,0,N/A
674-DCA-11-016,385756,South Africa,103092.7835,SOUTH AFRICA - RAND,10/28/2017,Manufacturing,Port Elizaberth,,,,,,,0,1,11--50
674-DCA-11-016,420663,South Africa,321744.2546,SOUTH AFRICA - RAND,4/23/2017,Other Service,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,1,1,11--50
674-DCA-11-016,433368,South Africa,97297.2973,SOUTH AFRICA - RAND,9/5/2018,Agriculture,Parys,,,,,,,0,1,11--50
674-DCA-11-016,435375,South Africa,210631.8957,SOUTH AFRICA - RAND,8/26/2018,Trade/Commerce,Sandton,,,,,,,0,1,N/A
674-DCA-11-016,434741,South Africa,300902.7081,SOUTH AFRICA - RAND,8/30/2018,Trade/Commerce,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,0,1,11--50
674-DCA-11-016,434767,South Africa,75225.677,SOUTH AFRICA - RAND,6/30/2019,Trade/Commerce,Durban,KwaZulu-Natal,SF02,South Africa,AFRICA,-29.857896,31.029198,1,1,1--5
674-DCA-11-016,435376,South Africa,49749.2477,SOUTH AFRICA - RAND,8/31/2018,Manufacturing,Cape Town,,,,,,,0,1,11--50
674-DCA-11-016,439987,South Africa,99186.6693,SOUTH AFRICA - RAND,9/14/2018,Trade/Commerce,Rivonia,,,,,,,0,1,1--5
674-DCA-11-016,439991,South Africa,297560.0079,SOUTH AFRICA - RAND,9/28/2018,Trade/Commerce,Sanbel,,,,,,,0,1,11--50
674-DCA-11-016,439992,South Africa,165840.1111,SOUTH AFRICA - RAND,11/20/2018,Trade/Commerce,Florida,,,,,,,0,0,11--50
674-DCA-11-016,460017,South Africa,163916.0305,SOUTH AFRICA - RAND,2/28/2019,Health,Midrand,,,,,,,1,1,1--5
674-DCA-11-016,460019,South Africa,44465.6489,SOUTH AFRICA - RAND,3/7/2019,Trade/Commerce,Midrand,Gauteng,SF06,South Africa,AFRICA,,,1,1,1--5
674-DCA-11-016,460018,South Africa,192850.4233,SOUTH AFRICA - RAND,4/4/2019,Trade/Commerce,Germiston,Gauteng,SF06,South Africa,AFRICA,-26.234806,28.176654,1,1,6--10
674-DCA-11-016,473054,South Africa,31984.9483,SOUTH AFRICA - RAND,5/30/2019,Other Service,Johannesburg,Gauteng,SF06,South Africa,AFRICA,-26.205171,28.049815,0,1,6--10
674-DCA-11-016,473052,South Africa,8936.9708,SOUTH AFRICA - RAND,6/30/2019,Education,Johannesburg,Gauteng,SF06,South Africa,AFRICA,-26.205171,28.049815,0,1,1--5
674-DCA-11-016,473053,South Africa,244224.4224,SOUTH AFRICA - RAND,8/30/2019,Other Service,Johannesburg,Gauteng,SF06,South Africa,AFRICA,-26.205171,28.049815,0,1,11--50
674-DCA-11-016,500388,South Africa,115452.9307,SOUTH AFRICA - RAND,10/23/2019,Other Service,George,Western Cape,SF11,South Africa,AFRICA,-33.963,22.461727,0,1,11--50
